"Data","Valor"
"2024-03-20",5.2626
"2024-03-19",5.2870
"2024-03-18",5.2630
"2024-03-17",5.2434
"2024-03-16",5.2434
"2024-03-15",5.2434
"2024-03-14",5.2256
"2024-03-13",5.2293
"2024-03-12",5.2304
"2024-03-11",5.2266
"2024-03-10",5.2239
"2024-03-09",5.2239
"2024-03-08",5.2239
"2024-03-07",5.1832
"2024-03-06",5.1868
"2024-03-05",5.1962
"2024-03-04",5.1949
"2024-03-03",5.2076
"2024-03-02",5.2076
"2024-03-01",5.2076
"2024-02-29",5.2325
"2024-02-28",5.2035
"2024-02-27",5.2054
"2024-02-26",5.2310
"2024-02-25",5.2344
"2024-02-24",5.2344
"2024-02-23",5.2344
"2024-02-22",5.1890
"2024-02-21",5.1768
"2024-02-20",5.1878
"2024-02-19",5.2064
"2024-02-18",5.2249
"2024-02-17",5.2249
"2024-02-16",5.2249
"2024-02-15",5.2196
"2024-02-14",5.2209
"2024-02-13",5.2203
"2024-02-12",5.2203
"2024-02-11",5.2203
"2024-02-10",5.2203
"2024-02-09",5.2203
"2024-02-08",5.2294
"2024-02-07",5.2088
"2024-02-06",5.2171
"2024-02-05",5.2556
"2024-02-04",5.1945
"2024-02-03",5.1945
"2024-02-02",5.1945
"2024-02-01",5.1818
"2024-01-31",5.2012
"2024-01-30",5.2120
"2024-01-29",5.1686
"2024-01-28",5.1581
"2024-01-27",5.1581
"2024-01-26",5.1581
"2024-01-25",5.1694
"2024-01-24",5.1652
"2024-01-23",5.2201
"2024-01-22",5.1965
"2024-01-21",5.1684
"2024-01-20",5.1684
"2024-01-19",5.1684
"2024-01-18",5.1873
"2024-01-17",5.1813
"2024-01-16",5.1490
"2024-01-15",5.1203
"2024-01-14",5.0970
"2024-01-13",5.0970
"2024-01-12",5.0970
"2024-01-11",5.1234
"2024-01-10",5.1346
"2024-01-09",5.1384
"2024-01-08",5.1293
"2024-01-07",5.1344
"2024-01-06",5.1344
"2024-01-05",5.1344
"2024-01-04",5.1647
"2024-01-03",5.1673
"2024-01-02",5.1362
"2024-01-01",5.0834
"2023-12-31",5.0834
"2023-12-30",5.0834
"2023-12-29",5.0834
"2023-12-28",5.0834
"2023-12-27",5.0721
"2023-12-26",5.0786
"2023-12-25",5.1050
"2023-12-24",5.1050
"2023-12-23",5.1050
"2023-12-22",5.1050
"2023-12-21",5.1193
"2023-12-20",5.1204
"2023-12-19",5.1096
"2023-12-18",5.1869
"2023-12-17",5.1867
"2023-12-16",5.1867
"2023-12-15",5.1867
"2023-12-14",5.1358
"2023-12-13",5.2059
"2023-12-12",5.1950
"2023-12-11",5.1912
"2023-12-10",5.1396
"2023-12-09",5.1396
"2023-12-08",5.1396
"2023-12-07",5.1396
"2023-12-06",5.1483
"2023-12-05",5.1998
"2023-12-04",5.1546
"2023-12-03",5.1651
"2023-12-02",5.1651
"2023-12-01",5.1651
"2023-11-30",5.1823
"2023-11-29",5.1380
"2023-11-28",5.1310
"2023-11-27",5.1399
"2023-11-26",5.1373
"2023-11-25",5.1373
"2023-11-24",5.1373
"2023-11-23",5.1378
"2023-11-22",5.1416
"2023-11-21",5.1246
"2023-11-20",5.1159
"2023-11-19",5.1291
"2023-11-18",5.1291
"2023-11-17",5.1291
"2023-11-16",5.1004
"2023-11-15",5.1116
"2023-11-14",5.1116
"2023-11-13",5.1709
"2023-11-12",5.1680
"2023-11-11",5.1680
"2023-11-10",5.1680
"2023-11-09",5.1457
"2023-11-08",5.1298
"2023-11-07",5.1104
"2023-11-06",5.1449
"2023-11-05",5.1356
"2023-11-04",5.1356
"2023-11-03",5.1356
"2023-11-02",5.2704
"2023-11-01",5.2704
"2023-10-31",5.3104
"2023-10-30",5.2578
"2023-10-29",5.1954
"2023-10-28",5.1954
"2023-10-27",5.1954
"2023-10-26",5.2558
"2023-10-25",5.2480
"2023-10-24",5.2568
"2023-10-23",5.2672
"2023-10-22",5.3054
"2023-10-21",5.3054
"2023-10-20",5.3054
"2023-10-19",5.3067
"2023-10-18",5.3096
"2023-10-17",5.2903
"2023-10-16",5.3149
"2023-10-15",5.3156
"2023-10-14",5.3156
"2023-10-13",5.3156
"2023-10-12",5.3021
"2023-10-11",5.3021
"2023-10-10",5.3405
"2023-10-09",5.4249
"2023-10-08",5.4514
"2023-10-07",5.4514
"2023-10-06",5.4514
"2023-10-05",5.4299
"2023-10-04",5.4102
"2023-10-03",5.3655
"2023-10-02",5.3213
"2023-10-01",5.2580
"2023-09-30",5.2580
"2023-09-29",5.2580
"2023-09-28",5.2999
"2023-09-27",1.2803
"2023-09-26",5.2203
"2023-09-25",5.2086
"2023-09-24",5.1588
"2023-09-23",5.1588
"2023-09-22",5.1588
