"Data","Valor"
"2024-03-21",5.4060
"2024-03-20",5.4327
"2024-03-19",5.4657
"2024-03-18",5.4469
"2024-03-17",5.4357
"2024-03-16",5.4357
"2024-03-15",5.4424
"2024-03-14",5.4317
"2024-03-13",5.4463
"2024-03-12",5.4344
"2024-03-11",5.4388
"2024-03-10",5.4503
"2024-03-09",5.4503
"2024-03-08",5.4503
"2024-03-07",5.4010
"2024-03-06",5.3884
"2024-03-05",5.3777
"2024-03-04",5.3723
"2024-03-03",5.3757
"2024-03-02",5.3757
"2024-03-01",5.3710
"2024-02-29",5.3721
"2024-02-28",5.3850
"2024-02-27",5.3500
"2024-02-26",5.4029
"2024-02-25",5.4029
"2024-02-24",5.4029
"2024-02-23",5.4029
"2024-02-22",5.3595
"2024-02-21",5.3416
"2024-02-20",5.3288
"2024-02-19",5.3478
"2024-02-18",5.3578
"2024-02-17",5.3578
"2024-02-16",5.3522
"2024-02-15",5.3504
"2024-02-14",5.3331
"2024-02-13",5.3012
"2024-02-12",5.3346
"2024-02-11",5.3773
"2024-02-10",5.3773
"2024-02-09",5.3474
"2024-02-08",5.3814
"2024-02-07",5.3513
"2024-02-06",5.3346
"2024-02-05",5.3426
"2024-02-04",5.3451
"2024-02-03",5.3451
"2024-02-02",5.3596
"2024-02-01",5.3431
"2024-01-31",5.3528
"2024-01-30",5.3644
"2024-01-29",5.3560
"2024-01-28",5.3323
"2024-01-27",5.3323
"2024-01-26",5.3323
"2024-01-25",5.3339
"2024-01-24",5.3705
"2024-01-23",5.3733
"2024-01-22",5.4276
"2024-01-21",5.3690
"2024-01-20",5.3690
"2024-01-19",5.3675
"2024-01-18",5.3566
"2024-01-17",5.3604
"2024-01-16",5.2964
"2024-01-15",5.3270
"2024-01-14",5.3325
"2024-01-13",5.3325
"2024-01-12",5.3213
"2024-01-11",5.3530
"2024-01-10",5.3656
"2024-01-09",5.3602
"2024-01-08",5.3366
"2024-01-07",5.3450
"2024-01-06",5.3450
"2024-01-05",5.3320
"2024-01-04",5.3715
"2024-01-03",5.3659
"2024-01-02",5.3799
"2024-01-01",5.3747
"2023-12-31",5.3747
"2023-12-30",5.3747
"2023-12-29",5.3571
"2023-12-28",5.3680
"2023-12-27",5.3614
"2023-12-26",5.3885
"2023-12-25",5.3885
"2023-12-24",5.3885
"2023-12-23",5.3885
"2023-12-22",5.3535
"2023-12-21",5.3756
"2023-12-20",5.3755
"2023-12-19",5.3396
"2023-12-18",5.3538
"2023-12-17",5.3921
"2023-12-16",5.3921
"2023-12-15",5.3813
"2023-12-14",5.4008
"2023-12-13",5.3578
"2023-12-12",5.3279
"2023-12-11",5.3124
"2023-12-10",5.2925
"2023-12-09",5.2925
"2023-12-08",5.3024
"2023-12-07",5.3013
"2023-12-06",5.3156
"2023-12-05",5.3108
"2023-12-04",5.3572
"2023-12-03",5.3635
"2023-12-02",5.3056
"2023-12-01",5.3056
"2023-11-30",5.3533
"2023-11-29",5.3668
"2023-11-28",5.3537
"2023-11-27",5.3677
"2023-11-26",5.3576
"2023-11-25",5.3576
"2023-11-24",5.3612
"2023-11-23",5.3495
"2023-11-22",5.3351
"2023-11-21",5.3454
"2023-11-20",5.3113
"2023-11-19",5.3467
"2023-11-18",5.3467
"2023-11-17",5.3467
"2023-11-16",5.2854
"2023-11-15",5.2745
"2023-11-14",5.2903
"2023-11-13",5.2514
"2023-11-12",5.2685
"2023-11-11",5.2473
"2023-11-10",5.2473
"2023-11-09",5.2704
"2023-11-08",5.2516
"2023-11-07",5.2121
"2023-11-06",5.2409
"2023-11-05",5.2761
"2023-11-04",5.2761
"2023-11-03",5.2761
"2023-11-02",5.2627
"2023-11-01",5.2531
"2023-10-31",5.3327
"2023-10-30",5.3577
"2023-10-29",5.2640
"2023-10-28",5.2640
"2023-10-27",5.2985
"2023-10-26",5.2672
"2023-10-25",5.2853
"2023-10-24",5.2892
"2023-10-23",5.3502
"2023-10-22",5.3613
"2023-10-21",5.3613
"2023-10-20",5.3288
"2023-10-19",5.3500
"2023-10-18",5.3256
"2023-10-17",5.3248
"2023-10-16",5.3175
"2023-10-15",5.3090
"2023-10-14",5.3488
"2023-10-13",5.3488
"2023-10-12",5.3153
"2023-10-11",5.3601
"2023-10-10",5.3618
"2023-10-09",5.4232
"2023-10-08",5.4538
"2023-10-07",5.4538
"2023-10-06",5.4538
"2023-10-05",5.4231
"2023-10-04",5.4174
"2023-10-03",5.3990
"2023-10-02",5.3103
"2023-10-01",5.3401
"2023-09-30",5.3401
"2023-09-29",5.3135
"2023-09-28",5.3237
"2023-09-27",5.3011
"2023-09-26",5.2738
"2023-09-25",5.2607
"2023-09-24",5.2506
"2023-09-23",5.2506
